time,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95,y_true
2020-09-14 08:15,693.26953125,780.6474609375,904.486328125,1047.6328125,1164.478515625,1273.5498046875,1331.08984375,1418.091796875,1665.06298828125,1906.07275390625,1906.07275390625,1099.1328
2020-09-14 08:30,1092.8525390625,1326.572265625,1486.75,1653.0576171875,1806.736328125,1914.12060546875,1994.85595703125,2098.857421875,2378.05126953125,2713.25244140625,2799.7177734375,3613.1328
2020-09-14 08:45,4053.49267578125,4741.21337890625,5055.205078125,5570.171875,5852.2685546875,6155.05078125,6374.54052734375,6540.587890625,6924.9599609375,7383.884765625,7704.22314453125,7291.7324
2020-09-14 09:00,7597.20849609375,8608.505859375,9632.9736328125,10503.486328125,10867.5,11462.31640625,11701.845703125,12060.7255859375,12564.001953125,13114.3837890625,13488.7119140625,13450.465
2020-09-14 09:15,11840.6708984375,13130.92578125,14738.85546875,15620.39453125,16159.0673828125,16477.20703125,16631.47265625,16985.005859375,17406.12109375,18016.11328125,18261.09375,16081.598
2020-09-14 09:30,13295.09375,14553.267578125,16547.00390625,17404.1484375,17987.671875,18480.537109375,18818.728515625,19311.26953125,19737.228515625,20371.3125,20630.8203125,11077.6
2020-09-14 09:45,6618.64013671875,7877.94140625,10389.1083984375,11276.1376953125,12714.2392578125,14490.783203125,15925.76953125,17650.40625,19383.69921875,21290.0703125,22622.16015625,12777.465
2020-09-14 10:00,11297.494140625,12437.7626953125,13974.240234375,15116.458984375,16374.0087890625,17855.71875,19096.265625,20480.17578125,22240.8125,24637.890625,26571.7265625,19458.8
2020-09-14 10:15,13213.9453125,14781.46875,16460.98828125,18171.7265625,19378.36328125,20977.619140625,21756.1484375,23108.853515625,24784.9296875,26922.8515625,28636.3515625,18938.533
2020-09-14 10:30,14419.49609375,16349.9267578125,18397.703125,19546.607421875,20392.4453125,21620.65625,22433.80859375,23569.96875,25214.84375,27610.375,29533.73828125,22355.799
2020-09-14 10:45,18730.3203125,21191.29296875,23124.302734375,24140.859375,24740.16015625,25485.904296875,26038.7578125,26912.765625,28345.76171875,30320.18359375,32002.28125,20635.266
2020-09-14 11:00,13364.40625,15640.146484375,18264.64453125,19340.40625,20792.93359375,21927.779296875,23140.65625,24706.08203125,26538.99609375,29249.07421875,31284.1953125,27878.73
2020-09-14 11:15,20963.021484375,22979.7265625,25489.07421875,27241.703125,28533.15625,29768.5234375,30770.98046875,31726.7578125,32877.2578125,34598.0390625,36112.11328125,36565.062
2020-09-14 11:30,27735.921875,30280.5,33645.94140625,35256.4140625,36750.75390625,37853.15234375,38287.49609375,38751.15625,39322.57421875,40312.70703125,41083.00390625,37784.13
2020-09-14 11:45,31184.4375,34209.7109375,37078.40234375,38579.3046875,39309.34375,39921.359375,40261.8515625,40709.1015625,41005.70703125,42027.3046875,42662.80859375,38718.8
2020-09-14 12:00,34435.3984375,37066.078125,39170.30859375,40000.1796875,40444.4921875,40787.578125,40864.4375,41211.89453125,41253.69921875,41812.11328125,42481.9453125,39557.13
2020-09-14 12:15,33586.45703125,36242.25390625,38345.9296875,39492.15625,39991.6171875,40513.16796875,40717.33984375,41308.08984375,41632.69140625,42313.609375,43153.3359375,40530.8
2020-09-14 12:30,36452.6953125,38792.71484375,40420.75,41133.171875,41432.92578125,41749.98046875,41749.98046875,42107.5234375,42215.34375,42695.92578125,43350.3828125,41400.332
2020-09-14 12:45,37537.4296875,39790.77734375,41222.8359375,41897.92578125,42170.07421875,42440.58203125,42440.58203125,42695.015625,42784.828125,43212.4140625,43750.85546875,41901.332
2020-09-14 13:00,38251.9765625,40400.86328125,41699.171875,42373.19140625,42616.7734375,42879.5390625,42879.5390625,43115.375,43204.86328125,43603.3125,44108.328125,41925.266
2020-09-14 13:15,37687.3125,39887.546875,41197.828125,42042.18359375,42302.28125,42633.859375,42666.4375,43024.16796875,43199.4765625,43657.51171875,44235.7578125,42217.33
2020-09-14 13:30,38281.5390625,40384.6875,41590.5546875,42309.3828125,42517.66796875,42784.9921875,42784.9921875,43078.95703125,43202.2265625,43613.3671875,44151.8046875,42811.996
2020-09-14 13:45,38905.48828125,40916.76171875,42067.55859375,42724.578125,42935.21484375,43172.18359375,43172.18359375,43386.9765625,43487.30078125,43841.01171875,44308.1875,41955.2
2020-09-14 14:00,36787.98828125,39029.19140625,40346.6796875,41392.5234375,41598.421875,42009.14453125,42087.66015625,42524.59375,42786.7421875,43238.62890625,43815.67578125,41598.2
2020-09-14 14:15,37784.984375,39783.0234375,40939.44921875,41616.78515625,41778.3671875,42053.1953125,42059.66796875,42301.734375,42425.00390625,42800.0625,43355.45703125,41324.53
2020-09-14 14:30,36562.36328125,38615.51953125,39773.3359375,40582.4921875,40697.53125,41017.61328125,41064.46484375,41362.65625,41536.66015625,41945.8828125,42503.78515625,41279.4
2020-09-14 14:45,37073.2578125,38926.703125,40043.5546875,40678.33203125,40822.859375,41053.1484375,41053.1484375,41242.8203125,41364.3203125,41684.5859375,42144.3359375,40693.734
2020-09-14 15:00,36119.515625,37976.19140625,39082.796875,39757.63671875,39884.29296875,40112.11328125,40133.47265625,40351.51953125,40496.703125,40835.5,41281.46875,39748.066
2020-09-14 15:15,35060.48046875,36872.3359375,37985.296875,38600.8828125,38735.14453125,38936.22265625,38987.83984375,39199.7890625,39382.3046875,39695.87109375,40162.546875,38518.8
2020-09-14 15:30,33393.59375,35206.5,36394.44921875,36993.26953125,37155.50390625,37325.17578125,37444.58203125,37681.515625,37915.14453125,38279.16015625,38766.33203125,37387.73
2020-09-14 15:45,32836.6171875,34473.65234375,35528.92578125,36000.80078125,36142.40234375,36204.5546875,36291.70703125,36442.95703125,36643.20703125,36972.59765625,37417.453125,36220.066
2020-09-14 16:00,31684.5234375,33183.640625,34208.2578125,34618.375,34787.81640625,34806.1796875,34922.28515625,35045.41015625,35262.33203125,35596.84375,36005.5625,35131.0
2020-09-14 16:15,30710.0,32024.5234375,32983.06640625,33318.35546875,33478.515625,33492.3515625,33595.05078125,33722.25,33932.46484375,34262.046875,34641.3359375,33095.4
2020-09-14 16:30,28156.5859375,29336.94140625,30473.6875,30762.9140625,31034.125,31112.296875,31344.9140625,31588.4453125,31894.1875,32350.03515625,32729.3515625,31080.598
2020-09-14 16:45,27062.0078125,27951.13671875,28837.21875,28959.11328125,29134.34375,29166.6171875,29305.29296875,29554.3203125,29742.71875,30189.1875,30542.60546875,29067.332
2020-09-14 17:00,25253.04296875,25956.16796875,26742.7109375,26806.1953125,26961.7890625,27009.81640625,27127.75390625,27417.5546875,27531.64453125,27974.046875,28318.79296875,26665.332
2020-09-14 17:15,22873.48046875,23417.67578125,24146.34765625,24224.001953125,24393.50390625,24473.15625,24629.3671875,24959.234375,25077.25,25545.796875,25974.1328125,23949.328
2020-09-14 17:30,20414.48046875,20815.375,21371.90625,21517.7421875,21657.0078125,21745.71875,21891.443359375,22172.779296875,22321.98828125,22810.599609375,23387.59765625,21308.332
