slot,hour,minute,n_samples,q05,q10,q20,q30,q40,q50,q60,q70,q80,q90,q95
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,5,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,6,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,7,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,7,30,1,0.0,0.0,0.0,0.0009183736769065603,0.0013411240636999225,0.0023545285089803763,0.0030192436159501277,0.0036796230353081725,0.007774283936177344,0.010459971431153783,0.010459971431153783
31,7,45,10,0.0010041244062192437,0.0014681367816057453,0.003668564947433123,0.005794815334726756,0.006892373808978275,0.008246244377363574,0.009102192490522354,0.009814794016484284,0.014386832883589122,0.017415898499551923,0.017415898499551923
32,8,0,28,0.008873602964624076,0.009437039863240978,0.012030095958176718,0.014946998660748978,0.016719391873835112,0.019199127134962857,0.02026229744239217,0.021813426535847058,0.02686543056272413,0.03013744387309452,0.03013744387309452
33,8,15,41,0.022563154994381465,0.025100285196731742,0.027754609624977583,0.031127430650127574,0.033473698830253446,0.036185805650598354,0.03808608292798925,0.03970829280217858,0.045354941757764715,0.04970772223829735,0.04974735936084839
34,8,30,55,0.04844249859491886,0.05470867404485484,0.05865688572682845,0.06325573650128384,0.06611163327595976,0.06925366383036899,0.07189753809045585,0.07328101962395883,0.07946248411372224,0.08530022919869731,0.08593568675214884
35,8,45,65,0.08461605485111749,0.09486314899118427,0.10174168403571343,0.10789076160662933,0.11106577650510381,0.11571111158230715,0.1181284127986625,0.11999312100829726,0.12579259127449793,0.13306115140393027,0.13569959994687372
36,9,0,79,0.11844510960274214,0.1297730754297474,0.1383680429981919,0.14387513659368514,0.14727780425804968,0.15189459281980833,0.15435776167598247,0.15680601578788084,0.1619955281815072,0.17019917448085703,0.17391194539415494
37,9,15,106,0.12768171363905947,0.13752774193100692,0.14635258747779917,0.15164208369153884,0.15552068063052576,0.16040735296152603,0.16316225266530418,0.16642291196116346,0.17192735478478022,0.18092736580806146,0.18506934692031485
38,9,30,109,0.17496315809117377,0.18635712903880508,0.19700385841622092,0.20277729891811375,0.20796847428214682,0.2139021510660411,0.21737160273441322,0.22113796304390226,0.2274794402007079,0.2375018721557243,0.2427179515242832
39,9,45,109,0.22958425389053536,0.24146011006836038,0.25310663233331415,0.2596576151668399,0.2657892373555783,0.27258217544313107,0.2765219174562246,0.2813654956269695,0.2881447404036722,0.2997419580866049,0.3070776844096987
40,10,0,109,0.2954364496106401,0.3081166854182861,0.32013363780232973,0.32766497445115755,0.3339919395230081,0.3412379768544595,0.3449402684487952,0.35094567187138576,0.35734332096686294,0.3694534772480845,0.3787530967044463
41,10,15,109,0.351128785923876,0.36470574699431824,0.3791654294505158,0.38776274945812395,0.3943478898873892,0.4023800372761431,0.40652444661625575,0.4137479717235694,0.4205752137975141,0.43316191276725646,0.4436557052199528
42,10,30,109,0.4020452638466173,0.4170567691651062,0.43399778417218776,0.4426759282660515,0.4504698192747102,0.4585873630910636,0.46427580053644973,0.4720849036470228,0.48027718835349,0.4939386053561335,0.5055599647795297
43,10,45,109,0.46182393524775694,0.4767223723850552,0.49363934069563686,0.5025652646894909,0.5101976052468967,0.5180545663397671,0.5230070110600638,0.530959531400168,0.5387457199274496,0.5521776448655963,0.5646272406230038
44,11,0,109,0.4894949958974512,0.5064013608777945,0.5262420688241054,0.5364358683921332,0.545162334500845,0.554681220476878,0.5614036605171715,0.5715740465689078,0.5808472099547302,0.5956476684308999,0.6092539577354418
45,11,15,109,0.5345747310743862,0.552545374072372,0.5722854731066982,0.5826287977697577,0.5911050397996082,0.6005457909363439,0.6066397447353669,0.6162175068133862,0.6249795421214943,0.6397003235409733,0.6545596010353806
46,11,30,109,0.5556978596679221,0.5756257278053665,0.5966476766494299,0.6078399849596924,0.6163182911837948,0.625800284516266,0.6319998952665242,0.6422385870435904,0.6515818240298366,0.667020529016522,0.6828099827548867
47,11,45,109,0.5898246907091959,0.6096219839306994,0.6296384130581376,0.6404249178749015,0.6475360587542155,0.6565893606872263,0.6617634837872928,0.6713882343961395,0.6799097566515315,0.6950755845860082,0.7111735950143865
48,12,0,109,0.6082791982231367,0.628203520666156,0.6476796063106304,0.6586748068268348,0.6652246565909754,0.6747463127065152,0.6799860147072092,0.6899294010646252,0.6980822260799541,0.7130087941268928,0.7301130362410642
49,12,15,109,0.604910612582663,0.6257374123606305,0.646497967452137,0.6583807311460337,0.666270266023564,0.6764560788388829,0.6829586829562826,0.6942042588185018,0.7036170136752758,0.7202746176227208,0.739207380528881
50,12,30,109,0.5985242559339691,0.6203171406936352,0.6434858357828362,0.6572342735660509,0.6660673514640468,0.6771364220802477,0.6849017948320862,0.6976937536715464,0.7086935657323394,0.7263791038992888,0.7464828294730399
51,12,45,109,0.6216907529641806,0.6427578949260886,0.6651381134206639,0.6785549073406799,0.6864518390098974,0.6963915310830294,0.7027086275508152,0.7135317379668964,0.7225549113459128,0.738894571721099,0.7578063794412537
52,13,0,109,0.6217480979404232,0.644212094151069,0.6667342521997089,0.6813956705364101,0.6883876566917732,0.6990142356014912,0.7048064795093523,0.7160833186204513,0.7251615969405638,0.7420736049889157,0.7612280042986889
53,13,15,109,0.6036243884557755,0.6257829463554674,0.6483240841290583,0.6632799658762109,0.6717326623417678,0.6832342957256371,0.6907907130804443,0.7037536703530934,0.7147447282337613,0.7340642253147128,0.7558297060502629
54,13,30,109,0.6082329301714501,0.6292990944426861,0.6498725296750509,0.6643334584119543,0.6713524497701334,0.6818404126047477,0.6884031771606722,0.6999249989724543,0.7100213885176347,0.7287516012632167,0.749882809358601
55,13,45,109,0.6045225003660167,0.6269295023260322,0.6488503140615139,0.6645115340825787,0.6719255205997346,0.6825189760188101,0.6886166568033598,0.700447861728674,0.7103754458319186,0.7286954678584662,0.7497165986933658
56,14,0,109,0.5991815327511829,0.620740689774823,0.642688137342063,0.6574714734665144,0.6650881105428015,0.6753387601700139,0.6819520404969807,0.6930128899059468,0.7027094714723673,0.7209602584654538,0.7423640379233569
57,14,15,109,0.5906463779977787,0.6129819773673802,0.6350441813413857,0.6504595363019122,0.6573961967349801,0.6675998496082455,0.6741435483833165,0.6853373435483419,0.6949495189037495,0.7132856536550417,0.7349406366035962
58,14,30,109,0.5865046494902695,0.6096006916924086,0.6322857252619671,0.6471457054506284,0.654497640881078,0.6643438357976393,0.6710836532975938,0.6816382967396251,0.691075730708166,0.7084989393124258,0.7300173107147029
59,14,45,109,0.5815741718777762,0.6043093534728196,0.6262843655106252,0.6404388225964192,0.6470886385305692,0.6557555153250968,0.6616440345609195,0.6706500219068495,0.6794374438974797,0.696249350381202,0.7167805885797823
60,15,0,109,0.5757000758980934,0.5985267691487977,0.6216551480037759,0.6349355815651324,0.6416546981264649,0.6500308473885111,0.6555327703302221,0.6645353200296935,0.6730335982033046,0.6887435849569986,0.7085636888253869
61,15,15,109,0.5478817149853044,0.5705818324334824,0.5960804631670349,0.6091418859859864,0.6166142287318589,0.6254811800498803,0.6320457640188225,0.6418373729113808,0.651858959797433,0.6683652774679892,0.6878899971277675
62,15,30,109,0.5259767686116558,0.5468756561762578,0.5714638257863011,0.5833395399718867,0.5912186068181812,0.5998618624148386,0.6067781275989743,0.6169213694198029,0.6273653173374977,0.6446448389747804,0.6642976276026139
63,15,45,109,0.49866282934446865,0.5178916512331333,0.541573268187531,0.5530202391488792,0.5612798625035658,0.5696936662907653,0.5765959502592476,0.5868632926279888,0.5972305544096989,0.6153275701182807,0.6348084309091763
64,16,0,109,0.47697801492601916,0.49534742453072506,0.5180022684465984,0.5287215047028946,0.5368441523035999,0.544543904465507,0.5512151543433343,0.5616899637244614,0.5710713932764879,0.5888201983088133,0.6077582274537459
65,16,15,109,0.44320796754564334,0.4594922876646484,0.48096815882951044,0.49010838850710003,0.4982976913765398,0.5050575279655141,0.5120864115453223,0.5223437540269381,0.5315245534211928,0.5491823105435548,0.5676397232091521
66,16,30,109,0.4037960020548038,0.41778848797159857,0.43719466973701276,0.44599781978250275,0.4535353194682266,0.46021761634227937,0.46736003978524254,0.47761410592740844,0.48684864445996623,0.5048175837423146,0.522671877247541
67,16,45,109,0.35832720976741134,0.37114669024072117,0.38799348818579743,0.39728080078751876,0.4039005150362396,0.41018442767863317,0.4172770654870793,0.4261471585148718,0.434893830453912,0.4517816559330554,0.4691505555177012
68,17,0,109,0.28352475774697344,0.2951981595731253,0.31013361509122084,0.3208745049249816,0.32673352610972345,0.3337660503323029,0.3412711742575607,0.35034650917894905,0.36049170073967896,0.37802181295835074,0.3957297938353921
