bus,cap_MW,cost_usd_d,shed_MWh,curt_MWh,vmin_ac,vmax_ac,n_over,n_under,max_load_pct,ok,score,rank
4,1,1265.66103842692,0,0,0.900937125664597,1.00945056476862,0,0,88.9422716006396,1,1265.66103842692,1
7,1,1265.66103842692,0,0,0.900950417411958,1.00945056476862,0,0,91.4399970391793,1,1265.66103842692,2
26,1,1265.66103842692,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1265.66103842692,3
4,2,1265.66103842692,0,0,0.900937125664597,1.00945056476862,0,0,88.9422716006396,1,1265.66103842692,4
7,2,1265.66103842692,0,0,0.900950417411958,1.00945056476862,0,0,91.4399970391793,1,1265.66103842692,5
26,2,1265.66103842692,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1265.66103842692,6
6,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,7
7,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,8
26,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,9
27,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,10
28,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,11
29,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,12
30,0.5,1275.68003714322,0,0,0.901483999577069,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,13
31,0.5,1275.68003714322,0,0,0.901427719611335,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,14
32,0.5,1275.68003714322,0,0,0.900251219531146,1.00945056476862,0,0,88.9422716006396,1,1275.68003714322,15
5,1,1265.66103842692,0,0,0.89596233289029,1.00945056476862,0,1,91.7512975158924,1,11265.6610384269,16
6,1,1265.66103842692,0,0,0.896001094756407,1.00945056476862,0,1,93.3129878604961,1,11265.6610384269,17
27,1,1265.66103842692,0,0,0.896540695644614,1.00945056476862,0,1,92.6212027254718,1,11265.6610384269,18
28,1,1265.66103842692,0,0,0.896058658303097,1.00945056476862,0,1,93.2539223568143,1,11265.6610384269,19
29,1,1265.66103842692,0,0,0.897234897537633,1.00945056476862,0,1,91.4399970391793,1,11265.6610384269,20
5,2,1265.66103842692,0,0,0.89596233289029,1.00945056476862,0,1,91.7512975158924,1,11265.6610384269,21
6,2,1265.66103842692,0,0,0.896001094756407,1.00945056476862,0,1,93.3129878604961,1,11265.6610384269,22
27,2,1265.66103842692,0,0,0.896540695644614,1.00945056476862,0,1,92.6212027254718,1,11265.6610384269,23
28,2,1265.66103842692,0,0,0.896058658303097,1.00945056476862,0,1,93.2539223568143,1,11265.6610384269,24
29,2,1265.66103842692,0,0,0.897234897537633,1.00945056476862,0,1,91.4399970391793,1,11265.6610384269,25
5,0.5,1275.68003714322,0,0,0.898940554524846,1.00945056476862,0,1,88.9422716006396,1,11275.6800371432,26
8,0.5,1275.68003714322,0,0,0.897722563929429,1.00945056476862,0,1,88.9422716006396,1,11275.6800371432,27
33,0.5,1275.68003714322,0,0,0.898982596926722,1.00945056476862,0,1,88.9422716006396,1,11275.6800371432,28
9,0.5,1276.00259119126,0,0,0.89604018209225,1.00945056476862,0,1,88.9422716006396,1,11276.0025911913,29
3,1,1265.66103842692,0,0,0.896494839640015,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,30
23,1,1265.66103842692,0,0,0.896509634984816,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,31
24,1,1265.66103842692,0,0,0.896536179919242,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,32
25,1,1265.66103842692,0,0,0.896540695644614,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,33
3,2,1265.66103842692,0,0,0.896494839640015,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,34
23,2,1265.66103842692,0,0,0.896509634984816,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,35
24,2,1265.66103842692,0,0,0.896536179919242,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,36
25,2,1265.66103842692,0,0,0.896540695644614,1.00945056476862,0,2,92.6212027254718,1,21265.6610384269,37
2,1,1270.76098488738,0.00666244524872166,0,0.895384096274104,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,38
19,1,1270.76098488738,0.00666244524872166,0,0.895383896892012,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,39
20,1,1270.76098488738,0.00666244524872166,0,0.895380263433507,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,40
21,1,1270.76098488738,0.00666244524872166,0,0.895378649566497,1.01013423604444,0,2,91.4399970391793,1,21274.0922075117,41
22,1,1270.76098488738,0.00666244524872166,0,0.89537477234701,1.01428414647661,0,2,91.4399970391793,1,21274.0922075117,42
2,2,1270.76098488738,0.00666244524872166,0,0.895384096274104,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,43
19,2,1270.76098488738,0.00666244524872166,0,0.895383896892012,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,44
20,2,1270.76098488738,0.00666244524872166,0,0.895380263433507,1.00945056476862,0,2,91.4399970391793,1,21274.0922075117,45
21,2,1270.76098488738,0.00666244524872166,0,0.895378649566497,1.01013423604444,0,2,91.4399970391793,1,21274.0922075117,46
22,2,1270.76098488738,0.00666244524872166,0,0.89537477234701,1.01428414647661,0,2,91.4399970391793,1,21274.0922075117,47
3,0.5,1275.68003714322,0,0,0.89622346554596,1.00945056476862,0,2,88.9422716006396,1,21275.6800371432,48
4,0.5,1275.68003714322,0,0,0.897547324400239,1.00945056476862,0,2,88.9422716006396,1,21275.6800371432,49
23,0.5,1275.68003714322,0,0,0.896237114467628,1.00945056476862,0,2,88.9422716006396,1,21275.6800371432,50
24,0.5,1275.68003714322,0,0,0.89626179370474,1.00945056476862,0,2,88.9422716006396,1,21275.6800371432,51
25,0.5,1275.68003714322,0,0,0.896269397631152,1.00945056476862,0,2,88.9422716006396,1,21275.6800371432,52
10,0.5,1276.4182923148,0,0,0.895997218455513,1.00945056476862,0,2,88.9422716006396,1,21276.4182923148,53
2,0.5,1282.59703965468,0.0107310017495866,0,0.895427010463737,1.00945056476862,0,2,88.9422716006396,1,21287.9625405295,54
19,0.5,1282.59703965468,0.0107310017495866,0,0.895427159313854,1.00945056476862,0,2,88.9422716006396,1,21287.9625405295,55
20,0.5,1282.59703965468,0.0107310017495866,0,0.895427556242148,1.00945056476862,0,2,88.9422716006396,1,21287.9625405295,56
21,0.5,1282.59703965468,0.0107310017495866,0,0.895427394775527,1.00945056476862,0,2,88.9422716006396,1,21287.9625405295,57
22,0.5,1282.59703965468,0.0107310017495866,0,0.895426601553024,1.00945056476862,0,2,88.9422716006396,1,21287.9625405295,58
30,1,1265.86401497795,0,0,0.895335857787906,1.00945056476862,0,3,92.6212027254718,1,31265.864014978,59
30,2,1265.86401497795,0,0,0.895335857787906,1.00945056476862,0,3,92.6212027254718,1,31265.864014978,60
8,1,1266.23660407034,0,0,0.895922483457414,1.00945056476862,0,3,92.6212027254718,1,31266.2366040703,61
8,2,1266.23660407034,0,0,0.895922483457414,1.00945056476862,0,3,92.6212027254718,1,31266.2366040703,62
31,1,1266.46645435125,0,0,0.895234334915182,1.00945056476862,0,3,93.1931810721808,1,31266.4664543512,63
31,2,1266.46645435125,0,0,0.895234334915182,1.00945056476862,0,3,93.1931810721808,1,31266.4664543512,64
11,0.5,1276.48120930525,0,0,0.895941563428496,1.00945056476862,0,3,88.9422716006396,1,31276.4812093053,65
12,0.5,1276.5908077176,0,0,0.896007099513205,1.00945056476862,0,3,88.9422716006396,1,31276.5908077176,66
33,1,1266.77055083053,0,0,0.89523773034855,1.00945056476862,0,4,91.4399970391793,1,41266.7705508305,67
33,2,1266.77055083053,0,0,0.89523773034855,1.00945056476862,0,4,91.4399970391793,1,41266.7705508305,68
32,1,1266.61923642852,0,0,0.895223219777124,1.00945056476862,0,5,93.1897525637493,1,51266.6192364285,69
32,2,1266.61923642852,0,0,0.895223219777124,1.00945056476862,0,5,93.1897525637493,1,51266.6192364285,70
13,0.5,1277.64959383184,0,0,0.895782560724388,1.00945056476862,0,5,88.9422716006396,1,51277.6495938318,71
9,1,1268.01878790114,0,0,0.895878589224437,1.00945056476862,0,6,92.6212027254718,1,61268.0187879011,72
9,2,1268.01878790114,0,0,0.895878589224437,1.00945056476862,0,6,92.6212027254718,1,61268.0187879011,73
10,1,1271.3232515026,0,0,0.89582042849064,1.00945056476862,0,6,95.0421657858609,1,61271.3232515026,74
10,2,1271.3232515026,0,0,0.89582042849064,1.00945056476862,0,6,95.0421657858609,1,61271.3232515026,75
11,1,1271.90061454054,0,0,0.895829009080946,1.00945056476862,0,6,95.0719896205513,1,61271.9006145405,76
11,2,1271.90061454054,0,0,0.895829009080946,1.00945056476862,0,6,95.0719896205513,1,61271.9006145405,77
12,1,1272.90635356038,0,0,0.895846948337838,1.00945056476862,0,6,95.1242114173071,1,61272.9063535604,78
12,2,1272.90635356038,0,0,0.895846948337838,1.00945056476862,0,6,95.1242114173071,1,61272.9063535604,79
14,0.5,1277.99203249756,0,0,0.895716280774736,1.00945056476862,0,6,88.9422716006396,1,61277.9920324976,80
15,0.5,1278.37581213138,0,0,0.895720837553148,1.00945056476862,0,6,88.9422716006396,1,61278.3758121314,81
13,1,1275.95974493786,0,0,0.895782560724388,1.00945056476862,0,7,92.6212027254718,1,71275.9597449379,82
13,2,1275.95974493786,0,0,0.895782560724388,1.00945056476862,0,7,92.6212027254718,1,71275.9597449379,83
14,1,1276.82617864567,0,0,0.895716280774736,1.00945056476862,0,7,92.9865560240987,1,71276.8261786457,84
14,2,1276.82617864567,0,0,0.895716280774736,1.00945056476862,0,7,92.9865560240987,1,71276.8261786457,85
16,0.5,1278.83896226834,0,0,0.895756220199274,1.00945056476862,0,7,88.9422716006396,1,71278.8389622683,86
17,0.5,1279.85298697268,0,0,0.895752574067259,1.00945056476862,0,8,88.9422716006396,1,81279.8529869727,87
18,0.5,1280.61332056739,0,0,0.895805956683405,1.00945056476862,0,8,88.9422716006396,1,81280.6133205674,88
15,1,1277.65644203106,0,0,0.895720837553148,1.00945056476862,0,9,94.0866972568028,1,91277.6564420311,89
15,2,1277.65644203106,0,0,0.895720837553148,1.00945056476862,0,9,94.0866972568028,1,91277.6564420311,90
16,1,1278.56525414841,0,0,0.895756220199274,1.00945056476862,0,9,95.3055450538377,1,91278.5652541484,91
16,2,1278.56525414841,0,0,0.895756220199274,1.00945056476862,0,9,95.3055450538377,1,91278.5652541484,92
17,1,1279.85298697268,0,0,0.895752574067259,1.00945056476862,0,9,92.6212027254718,1,91279.8529869727,93
17,2,1279.85298697268,0,0,0.895752574067259,1.00945056476862,0,9,92.6212027254718,1,91279.8529869727,94
18,1,1280.61332056739,0,0,0.895805956683405,1.00945056476862,0,9,92.6212027254718,1,91280.6133205674,95
18,2,1280.61332056739,0,0,0.895805956683405,1.00945056476862,0,9,92.6212027254718,1,91280.6133205674,96
