plan,E_cost,E_shed_MWh,CVaR95,worst_cost,viol_prob,E_Vmin
DET,1280.95592855896,0,1292.27368684355,1296.49245947767,0,0.9
SAA,1280.95592855896,0,1292.27368684355,1296.49245947767,0,0.9
DRO,1281.06459553874,0.000233753734051301,1293.22734884992,1300.30710750317,0,0.9
