avail,pv_avail_MW,pv_disp_MW,pv_curt_MW,slack_MW,loss_MW,cost_usd_h,vmax_pu,vmin_pu,lmp_max,lmp_min,n_over_vmax,converged
0,0,0,0,3.90350758669257,0.188507620757616,78.0701517338513,1.04990330005129,0.959042903375112,22.9119505039274,19.9999851734656,0,1
0.05,0.3715,0.371494989283306,5.01071669456454e-06,3.50500209299433,0.161497085443462,70.1000418598866,1.04999541866011,0.968620908159428,22.4451553819408,19.9999964797078,0,1
0.1,0.743,0.742981697155165,1.83028448349498e-05,3.11075181840148,0.138733523062179,62.2150363680297,1.04991820226881,0.977495624518877,22.0403395709746,19.9999825292243,0,1
0.15,1.1145,1.11447568545457,2.43145454350557e-05,2.72050896684251,0.119984699809599,54.4101793368502,1.04977003344716,0.985528830185424,21.695422205438,19.9999704827613,0,1
0.2,1.486,1.48598209249457,1.79075054327349e-05,2.33404255533329,0.105024778245213,46.6808511066658,1.04979844157536,0.992756704381828,21.3858915487855,19.9525300765059,0,1
0.25,1.8575,1.85748670825931,1.32917406887589e-05,1.95141754237762,0.09390435768823,39.0283508475523,1.04984141095051,0.998281330719595,21.1051320254239,19.8210050287629,0,1
0.3,2.229,2.22898609989472,1.39001052774645e-05,1.57250091559348,0.0864871852138722,31.4500183118695,1.04981146111982,1.00159489272615,20.8788772646586,19.7601694495899,0,1
0.35,2.6005,2.60048502540343,1.49745965685177e-05,1.19697465114057,0.082459985266135,23.9394930228115,1.04976378599991,1.00471427714629,20.6751847366866,19.6972693324156,0,1
0.4,2.972,2.97198370186829,1.62981317157751e-05,0.824749022388226,0.0817332326942152,16.4949804477645,1.04972443664944,1.00735181342701,20.5087919888949,19.6324428485236,0,1
0.45,3.3435,3.34348255747313,1.7442526871303e-05,0.455748494889708,0.0842317224869108,9.11496989779416,1.04967075012298,1.00992514356983,20.3569977228213,19.4713850833323,0,1
0.5,3.715,3.71497866011215,2.13398878554649e-05,0.0899186058971774,0.0898986063841092,1.79837211794355,1.04950969123046,1.01233933424795,20.2159320347671,19.1643848577648,0,1
0.55,4.0865,3.81679754302351,0.269702456976491,1.61282816368711e-06,0.1018001386764,3.22565632737421e-05,1.00041513509647,0.96071702200971,0.000490314473047885,0.000421657007117423,0,1
0.6,4.458,3.81628694072115,0.641713059278849,1.70189564541982e-06,0.101289114734449,3.40379129083964e-05,0.999335373196628,0.961254245714649,0.000214868112248494,0.000152903227423171,0,1
0.65,4.8295,3.81565956323346,1.01384043676654,1.65663631549421e-06,0.100661917791156,3.31327263098842e-05,0.99832791252581,0.96178050229525,0.000130364813340312,7.48476328587926e-05,0,1
0.7,5.201,3.81516403248368,1.38583596751632,1.57972139712916e-06,0.100166813780721,3.15944279425833e-05,0.997477521568945,0.962251117593471,8.87108239988713e-05,3.95088128165649e-05,0,1
0.75,5.5725,3.81480330498243,1.75769669501757,1.4795702186257e-06,0.0998065586739401,2.95914043725139e-05,0.996782084193395,0.962662125148045,6.32580457552345e-05,2.01339243444909e-05,0,1
0.8,5.944,3.81454644312346,2.12945355687655,1.37889482412197e-06,0.0995501729557805,2.75778964824395e-05,0.996225367495611,0.962972130497567,4.65650875507739e-05,8.65637804573314e-06,0,1
0.85,6.3155,3.81436428395872,2.50113571604128,1.28635519935162e-06,0.099368482171924,2.57271039870324e-05,0.99578559467086,0.963225373615366,3.53499355477699e-05,1.48549475350156e-06,0,1
0.9,6.687,3.81423506863509,2.87276493136491,1.20474633470319e-06,0.0992397190813953,2.40949266940637e-05,0.995439891975499,0.963436593492479,2.76233390649881e-05,-3.17784421012619e-06,0,1
0.95,7.0585,3.81382540673604,3.24467459326396,1.13422716227653e-05,0.0988415901679071,0.000226845432455306,0.995295229652497,0.963632248806432,0.000220046378333886,-6.31034916121616e-05,0,1
1,7.43,3.81374619275763,3.61625380724237,1.07403813682755e-05,0.0987623430012488,0.00021480762736551,0.995092638418505,0.963768400583432,0.000178243066953271,-8.47608881645437e-05,0,1
