plan,E_cost,E_shed_MWh,CVaR95,worst_cost,viol_prob,E_Vmin
DET,1278.11146075573,0,1352.54036302493,1367.45611478755,0,0.899999999999999
SAA,1278.11146075573,0,1352.54036302493,1367.45611478755,0,0.899999999999999
DRO,1278.11758477327,1.31733850645629e-05,1352.6551883539,1367.78256702488,0,0.899999999999999
