plan,E_cost,E_shed_MWh,CVaR95,worst_cost,viol_prob,E_Vmin
DET,1369.22163529801,0.0721508793027018,1416.26234047877,1432.15805949952,1,0.832407904542263
SAA,1374.59511658181,0.079648780898901,1424.84694307527,1440.74266209602,1,0.832407904542263
DRO,1371.25070593903,0.0728554222918766,1418.67602400325,1434.57174302401,1,0.832407904542263
