pen,vmin_ac,vmin_lin,vmin_socp,err_lin,err_socp,vmax_ac,vmax_lin,vmax_socp,socp_exitflag
0,0.888263239890363,0.892886368623607,0.888263239897804,0.00462312873324444,7.44171391175996e-12,1,1,1,-7
0.5,0.933682631463995,0.935649514050963,0.933682631466839,0.00196688258696776,2.84317014376256e-12,1,1,1,-7
1,0.961131158507955,0.962796526462115,0.961131166559925,0.00166536795415906,8.05196997966107e-09,1.00857163010798,1.00882220353863,1.0085716283614,-7
1.5,0.982606559577088,0.985350904839923,0.982606559593785,0.00274434526283429,1.66965330450353e-11,1.0220620698118,1.02767780251117,1.02206206979156,1
2,0.998436628425031,1,0.998436628425139,0.00156337157496944,1.0857981180834e-13,1.05872861175105,1.06883746750428,1.05872861174653,1
2.5,1,1,1,0,0,1.09270589556567,1.10846984537593,1.09270589555878,-7
