pen,pv_total_MW,pv_actual_MW,loss_kW,loss_pct,slack_kW,vmax_pu,vmax_bus,vmin_pu,vmin_bus,maxS_MVA,max_load_pct,n_over_vmax,n_under_vmin,n_congested,converged
0,0,0,210.998336028514,5.67963219457642,3925.99833602844,1,1,0.903771996832248,18,5.54350941926336,84.2692642303035,0,0,0,1
0.05,0.18575,0.18575,195.149715025603,5.25302059288298,3724.39971502558,1,1,0.908868063542666,18,5.25905471508636,79.9451462727246,0,0,0,1
0.1,0.3715,0.3715,180.53088664985,4.8595124266447,3524.03088664983,1,1,0.913895973890093,18,4.97630071176503,75.646881398264,0,0,0,1
0.15,0.55725,0.55725,167.1098982612,4.49824759787885,3324.85989826137,1,1,0.918768984411903,17,4.69520297706655,71.3737941734941,0,0,0,1
0.2,0.743,0.743,154.856446051914,4.16841039170697,3126.85644605222,1,1,0.923438544821787,17,4.41571937704116,67.1252441021738,0,0,0,1
0.25,0.92875,0.92875,143.741752956672,3.8692261899508,2929.99175295677,1,1,0.928034288669372,16,4.13780990571066,62.9006230362703,0,0,0,1
0.3,1.1145,1.1145,133.738458183914,3.59995849754815,2734.23845818388,1,1,0.932142355743061,15,3.8614365309966,58.6993528338479,0,0,0,1
0.35,1.30025,1.30025,124.820517029947,3.359906245759,2539.57051702969,1,1,0.936018408466854,15,3.58656305502373,54.5208832354796,0,0,0,1
0.4,1.486,1.486,116.963108659776,3.14840130981899,2345.96310137681,1,1,0.9397720005074,14,3.3131549752918,50.3646897538618,0,0,0,1
0.45,1.67175,1.67175,110.142557963576,2.96480640547983,2153.39255166941,1,1,0.943378161199712,14,3.04117941840822,46.2302726664543,0,0,0,1
0.5,1.8575,1.8575,104.336252353583,2.80851284935619,1961.83624681362,1.00081460210714,22,0.946448516626812,31,2.77060495801713,42.1171542477436,0,0,0,1
0.55,2.04325,2.04325,99.5225777713607,2.67893883637579,1771.27257282132,1.00172161001745,22,0.94918503837018,31,2.54997198816593,38.7632178460665,0,0,0,1
0.6,2.229,2.229,95.6808538736176,2.57552769511757,1581.6808493953,1.00262571117215,22,0.95189730439121,31,2.34844106020494,35.6996597758108,0,0,0,1
0.65,2.41475,2.41475,92.7912758182007,2.49774632081294,1393.0412717225,1.00352693596849,22,0.954585885511862,31,2.14798964026327,32.6525117699454,0,0,0,1
0.7,2.6005,2.6005,90.8348607409615,2.44508373461538,1205.33485695933,1.00442531394288,22,0.957129724521079,30,1.9485943291129,29.6214181267696,0,0,0,1
0.75,2.78625,2.78625,89.793398464467,2.41704975678242,1018.54339494048,1.00532087381592,22,0.959482712556292,30,1.75023275289351,26.6060387316369,0,0,0,1
0.8,2.972,2.972,89.6494060319176,2.41317378282416,832.649402720108,1.00621364353406,22,0.961815492245835,30,1.55288353040373,23.6060485597349,0,0,0,1
0.85,3.15775,3.15775,90.3860857053476,2.43300365290303,647.636082563849,1.00710365030815,22,0.964128508456941,30,1.35652626685578,20.6211375811475,0,0,0,1
0.9,3.3435,3.3435,91.9872861069692,2.47610460584035,463.487283097493,1.00799092064934,22,0.966422188857792,30,1.16114159913234,17.6510114488239,0,0,0,1
0.95,3.52925,3.52925,94.4374662174077,2.54205831002443,280.187463301218,1.00887548040242,22,0.968696944859475,30,1.16184845264043,17.6617566321617,0,0,0,1
1,3.715,3.715,97.7216619751125,2.63046196433681,97.7216591070373,1.00975735477685,22,0.970953172491246,30,1.22740293693994,18.6582784635706,0,0,0,1
1.05,3.90075,3.90075,101.825455248078,2.74092746293616,-83.9245476304313,1.01063656837574,22,0.973191253214896,30,1.29295192236095,19.654716704169,0,0,0,1
1.1,4.0865,4.0865,106.734944972695,2.87308061837672,-264.765058001785,1.01151314522293,22,0.975411554683388,30,1.35849549047092,20.6510725938989,0,0,0,1
1.15,4.27225,4.27225,112.436720275303,3.02656043809699,-444.813282926361,1.01238710878825,22,0.977539346594606,29,1.42403372042437,21.6473473360219,0,0,0,1
1.2,4.458,4.458,118.917835410582,3.20101844981378,-624.082168224959,1.01325848201123,22,0.979579190354771,29,1.48956668906584,22.6435420986851,0,0,0,1
1.25,4.64375,4.64375,126.165786367191,3.39611807179519,-802.584218027505,1.01489586580316,18,0.981603119487885,29,1.55509447102941,23.6396580164331,0,0,0,1
1.3,4.8295,4.8295,134.16848900552,3.61153402437469,-980.331516649812,1.0187828829486,18,0.983611437503299,29,1.62061713883313,24.6356961916437,0,0,0,1
1.35,5.01525,5.01525,142.914258685522,3.84695178157529,-1157.33574131423,1.02263605028516,18,0.985604437503203,29,1.68613476496541,25.6316577262445,0,0,0,1
1.4,5.201,5.201,152.391790553495,4.10206704047092,-1333.60820944677,1.02645610668875,18,0.987582403331948,29,1.88912965056979,28.7174700445122,0,0,0,1
1.45,5.38675,5.38675,162.590142615423,4.37658526555647,-1509.15985738447,1.03024376284459,18,0.989545609101184,29,2.1376178398784,32.4948455839479,0,0,0,1
1.5,5.5725,5.5725,173.498718100872,4.67022121402078,-1684.00128189887,1.03399970428962,18,0.991494320208893,29,2.38512692784313,36.2573373839299,0,0,0,1
1.55,5.75825,5.75825,185.107249844512,4.98269851533006,-1858.14275015537,1.0377245922812,18,0.993410691284567,7,2.63167113586779,40.0051616301168,0,0,0,1
1.6,5.944,5.944,197.405785401646,5.31374927056921,-2031.59421459873,1.04141906498047,18,0.994723427282996,7,2.87726425112385,43.7385279072154,0,0,0,1
1.65,6.12975,6.12975,210.384673041335,5.66311367540606,-2204.36532695885,1.04508373856261,18,0.996025410690239,7,3.12191964468163,47.4576394746002,0,0,0,1
1.7,6.3155,6.3155,224.034548553888,6.03053966497679,-2376.46545144594,1.04871920825941,18,0.997316829088435,7,3.36565028912516,51.1626935340852,0,0,0,1
1.75,6.50125,6.50125,238.346322814718,6.41578257913103,-2547.9036771851,1.052326049339,18,0.998597864149807,7,3.60846877542371,54.8538814863938,0,0,0,1
1.8,6.687,6.687,253.311170051541,6.81860484660943,-2718.68882994841,1.05590481802751,18,0.999868691897115,7,3.85038732899718,58.5313891753777,0,0,0,1
1.85,6.87275,6.87275,268.920516766176,7.23877568684189,-2888.82948323385,1.05945605237664,18,1,1,4.09141782497113,62.1953971199135,0,0,0,1
1.9,7.0585,7.0585,285.166031266237,7.6760708281625,-3058.3339687339,1.06298027308108,18,1,1,4.33157180264044,65.8460807337717,0,0,0,1
1.95,7.24425,7.24425,302.039613765604,8.13027224133522,-3227.21038623445,1.0664779842492,18,1,1,4.57086047917619,69.483610533981,0,0,0,1
2,7.43,7.43,319.533387015755,8.6011678873689,-3395.46661298436,1.06994967413029,18,1,1,4.80929476261853,73.1081523383376,0,0,0,1
2.05,7.61575,7.61575,337.639687433166,9.0885514786855,-3563.11031256678,1.07339581580129,18,1,1,5.0468852641904,76.719867452593,0,0,0,1
2.1,7.8015,7.8015,356.351056690464,9.59222225277157,-3730.14894330959,1.07681686781575,18,1,1,5.28364230997991,80.3189128480411,0,0,0,1
2.15,7.98725,7.98725,375.660233741705,10.1119847575156,-3896.58976625856,1.08021327481744,18,1,1,5.51957595202015,83.9054413299478,0,0,0,1
2.2,8.173,8.173,395.560147254264,10.6476486474903,-4062.43985274591,1.08358546812109,18,1,1,5.75469597881038,87.4796016974889,0,0,0,1
2.25,8.35875,8.35875,416.043908421873,11.1990284904946,-4227.70609157851,1.08693386626228,18,1,1,5.98901192531081,91.0415388956839,0,0,0,1
2.3,8.5445,8.5445,437.104804135346,11.765943583724,-4392.39519586522,1.09025887551842,18,1,1,6.22253308243711,94.5913941597266,0,0,0,1
2.35,8.73025,8.73025,458.736290488978,12.3482177789765,-4556.51370951227,1.09356089040282,18,1,1,6.45526850609432,98.1293051523135,0,0,0,1
2.4,8.916,8.916,480.931986602598,12.9456793163552,-4720.06801339899,1.09684029413332,18,1,1,6.68722702576667,101.655406094221,0,0,1,1
2.45,9.10175,9.10175,503.685668740214,13.5581606659546,-4883.06433126195,1.10009745907729,18,1,1,6.91841725270248,105.169827888729,1,0,1,1
2.5,9.2875,9.2875,526.991264707949,14.1854983770646,-5045.50873529547,1.10333274717419,18,1,1,7.14884758770441,108.672698240041,1,0,1,1
